,member_id,book_id,checkout_date,first_name,last_name,grade,neighborhood,membership_status,join_date,genre,pages,publication_year,publisher,checkout_id,return_date,books_borrowed
0,1026,522,2025-07-11,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16,Mystery,104,2016.0,Cairo Young Readers,,,
1,1049,520,2025-07-11,Ahmed,Gamal,6.0,Heliopolis,Active,2023-06-10,Science Fiction,136,2009.0,Oasis Books,,,
2,1062,525,2025-07-05,Tarek,Adel,7.0,Zamalek,Active,2023-01-22,Adventure,297,2015.0,Oasis Books,,,
3,1065,520,2025-07-07,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Science Fiction,136,2009.0,Oasis Books,,,
4,1009,503,2025-07-09,Hassan,Saleh,6.0,Maadi,Active,2025-04-25,Historical,259,,Nile Press,,,
5,1063,522,2025-07-07,Layla,Fouad,6.0,Zamalek,Active,2024-06-21,Mystery,104,2016.0,Cairo Young Readers,,,
6,1022,511,2025-07-12,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Historical,117,2016.0,Nile Press,,,
7,1029,523,2025-07-09,Rana,Kamel,6.0,Nasr City,Active,2023-04-03,Historical,276,2018.0,Oasis Books,,,
8,1005,513,2025-07-10,Youssef,Halim,9.0,Maadi,Active,2024-05-05,Science,294,2021.0,Oasis Books,,,
9,1058,518,2025-07-08,Lina,Mansour,8.0,Heliopolis,active,2025-07-20,Adventure,163,2011.0,Delta House,,,
10,1002,521,2025-07-08,Fares,Saleh,9.0,Maadi,Active,,Science,211,2024.0,Cairo Young Readers,,,
11,1041,504,2025-07-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Science,319,2009.0,Cairo Young Readers,,,
12,1055,526,2025-07-11,Mostafa,Kamel,9.0,Heliopolis,Active,2025-01-04,Science Fiction,125,2016.0,Delta House,,,
13,1061,513,2025-07-06,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,Science,294,2021.0,Oasis Books,,,
14,1012,509,2025-07-11,Ali,Hegazy,7.0,Maadi ,Active,2025-12-08,Mystery,221,2011.0,Nile Press,,,
15,1007,510,2025-07-07,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,Mystery,134,2013.0,Cairo Young Readers,,,
16,1073,530,2025-07-07,Yassin,Kamel,7.0,Zamalek,Inactive,2025-08-26,Adventure,208,2012.0,Oasis Books,,,
17,1003,501,2025-07-08,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,Adventure,128,2017.0,Nile Press,,,
18,1017,507,2025-07-11,Adam,Badr,9.0,Maadi,Active,2025-07-12,Science,160,2024.0,Nile Press,,,
19,1061,504,2025-07-06,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27,Science,319,2009.0,Cairo Young Readers,,,
20,1041,512,2025-07-06,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Adventure,238,2022.0,Delta House,,,
21,1008,501,2025-08-23,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Adventure,128,2017.0,Nile Press,9001.0,2025-08-28,19.0
22,1015,501,2024-08-04,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13,Adventure,128,2017.0,Nile Press,9003.0,2024-08-13,3.0
23,1010,501,2025-02-17,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,Adventure,128,2017.0,Nile Press,9012.0,,18.0
24,1002,501,2024-02-16,Fares,Saleh,9.0,Maadi,Active,,Adventure,128,2017.0,Nile Press,9013.0,2024-02-29,2.0
25,1008,501,2025-05-22,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Adventure,128,2017.0,Nile Press,9021.0,2025-05-29,19.0
26,1011,501,2024-11-24,Menna,Halim,8.0,Maadi,Active,2024-04-22,Adventure,128,2017.0,Nile Press,9032.0,2024-12-11,2.0
27,1020,501,2024-08-01,Rana,Fouad,6.0,Maadi,Active,2025-12-04,Adventure,128,2017.0,Nile Press,9035.0,2024-08-23,7.0
28,1019,501,2024-06-20,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,Adventure,128,2017.0,Nile Press,9052.0,2024-06-29,3.0
29,1019,501,2024-06-20,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,Adventure,128,2017.0,Nile Press,9052.0,2024-06-29,3.0
30,1006,501,2025-03-18,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,Adventure,128,2017.0,Nile Press,9058.0,2025-04-09,1.0
31,1003,501,2025-11-14,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,Adventure,128,2017.0,Nile Press,9068.0,2025-12-03,9.0
32,1003,501,2024-06-19,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,Adventure,128,2017.0,Nile Press,9074.0,2024-07-06,9.0
33,1008,501,2024-03-20,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Adventure,128,2017.0,Nile Press,9080.0,2024-04-18,19.0
34,1018,501,2024-06-20,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Adventure,128,2017.0,Nile Press,9086.0,2024-06-29,17.0
35,1022,501,2025-02-17,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,Adventure,128,2017.0,Nile Press,9096.0,2025-03-17,6.0
36,1018,501,2025-10-05,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Adventure,128,2017.0,Nile Press,9097.0,2025-10-14,17.0
37,1027,501,2025-03-05,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Adventure,128,2017.0,Nile Press,9105.0,2025-03-25,18.0
38,1034,501,2025-08-20,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Adventure,128,2017.0,Nile Press,9106.0,2025-08-27,25.0
39,1026,501,2025-09-13,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16,Adventure,128,2017.0,Nile Press,9117.0,,3.0
40,1039,501,2025-06-17,Nada,Riad,7.0,Nasr City,active,,Adventure,128,2017.0,Nile Press,9125.0,,2.0
41,1024,501,2025-06-12,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,Adventure,128,2017.0,Nile Press,9128.0,2025-06-19,17.0
42,1024,501,2025-11-07,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,Adventure,128,2017.0,Nile Press,9144.0,2025-11-25,17.0
43,1034,501,2025-11-10,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Adventure,128,2017.0,Nile Press,9145.0,2025-12-10,25.0
44,1030,501,2024-12-11,Reem,Osman,,Nasr City,Active,2025-04-01,Adventure,128,2017.0,Nile Press,9159.0,,16.0
45,1030,501,2024-06-20,Reem,Osman,,Nasr City,Active,2025-04-01,Adventure,128,2017.0,Nile Press,9160.0,2024-07-07,16.0
46,1027,501,2024-11-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Adventure,128,2017.0,Nile Press,9176.0,2024-11-26,18.0
47,1026,501,2024-12-15,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16,Adventure,128,2017.0,Nile Press,9184.0,2025-01-11,3.0
48,1030,501,2025-11-26,Reem,Osman,,Nasr City,Active,2025-04-01,Adventure,128,2017.0,Nile Press,9197.0,2025-12-01,16.0
49,1057,501,2025-10-25,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Adventure,128,2017.0,Nile Press,9203.0,,10.0
50,1050,501,2024-05-07,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Adventure,128,2017.0,Nile Press,9213.0,2024-05-14,11.0
51,1047,501,2025-11-16,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,Adventure,128,2017.0,Nile Press,9229.0,2025-12-08,16.0
52,1050,501,2025-09-10,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Adventure,128,2017.0,Nile Press,9230.0,2025-10-07,11.0
53,1059,501,2025-10-23,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,Adventure,128,2017.0,Nile Press,9254.0,2025-11-07,7.0
54,1047,501,2024-10-18,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,Adventure,128,2017.0,Nile Press,9257.0,2024-11-16,16.0
55,1057,501,2025-11-16,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Adventure,128,2017.0,Nile Press,9259.0,2025-11-30,10.0
56,1065,501,2024-12-15,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Adventure,128,2017.0,Nile Press,9296.0,2025-01-11,17.0
57,1065,501,2024-12-15,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Adventure,128,2017.0,Nile Press,9296.0,2025-01-11,17.0
58,1065,501,2025-04-14,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Adventure,128,2017.0,Nile Press,9297.0,,17.0
59,1072,501,2025-06-10,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Adventure,128,2017.0,Nile Press,9307.0,2025-07-09,14.0
60,1068,501,2024-06-11,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,Adventure,128,2017.0,Nile Press,9315.0,2024-07-04,6.0
61,1073,501,2025-07-19,Yassin,Kamel,7.0,Zamalek,Inactive,2025-08-26,Adventure,128,2017.0,Nile Press,9320.0,2025-08-13,2.0
62,1070,501,2025-12-28,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,Adventure,128,2017.0,Nile Press,9321.0,2026-01-09,3.0
63,1062,501,2024-08-15,Tarek,Adel,7.0,Zamalek,Active,2023-01-22,Adventure,128,2017.0,Nile Press,9326.0,2024-08-21,7.0
64,1070,501,2024-01-28,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,Adventure,128,2017.0,Nile Press,9328.0,,3.0
65,1072,501,2024-07-16,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Adventure,128,2017.0,Nile Press,9338.0,,14.0
66,1073,501,2025-02-02,Yassin,Kamel,7.0,Zamalek,Inactive,2025-08-26,Adventure,128,2017.0,Nile Press,9339.0,,2.0
67,1068,501,2025-05-28,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,Adventure,128,2017.0,Nile Press,9342.0,2025-06-27,6.0
68,1077,501,2024-03-04,Lina,Rashad,6.0,Shubra,Active,2023-07-08,Adventure,128,2017.0,Nile Press,9349.0,2024-04-02,6.0
69,1080,501,2025-06-22,Bassel,Wahba,9.0,Shubra,Active,2023-12-28,Adventure,128,2017.0,Nile Press,9350.0,2025-07-17,2.0
70,1076,501,2025-02-02,Dina,Wahba,7.0,Shubra,Active,2025-12-13,Adventure,128,2017.0,Nile Press,9352.0,,7.0
71,1076,501,2025-03-14,Dina,Wahba,7.0,Shubra,Active,2025-12-13,Adventure,128,2017.0,Nile Press,9356.0,2025-04-13,7.0
72,1077,501,2025-01-26,Lina,Rashad,6.0,Shubra,Active,2023-07-08,Adventure,128,2017.0,Nile Press,9359.0,,6.0
73,1075,501,2024-01-17,Malak,Fahmy,7.0,Shubra,Active,2024-10-28,Adventure,128,2017.0,Nile Press,9365.0,2024-02-01,9.0
